UOP; median, memBW, memcpy, memlatency, mergesort, multiply, qsort, rsort, spmv, st-matmul, st-vvadd, towers, vvadd
UOP_INV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_SPEC;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_NOP;1926,2109,1935,2114,5417,2024,11211,1934,1926,1930,1935,2766,1926
UOP_CF;32785,257193,36727,93868,59960,37450,74613,39341,34587,35639,35365,31755,31144
UOP_CMOV;268,294,272,626,265,268,268,272,768,266,2266,268,268
UOP_LDA;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_IMEM;58093,1320466,91573,1317986,203059,73324,269108,342149,77733,115699,86139,54723,50679
UOP_IADD;99765,1402421,134808,1484244,230314,102130,246581,328015,137238,140742,139660,90067,93229
UOP_IMUL;119,136,120,254,117,119,119,120,119,12665,119,119,119
UOP_IDIV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_ICMP;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_LOGIC;15709,17479,15875,17779,16245,22121,15721,15858,18209,15678,17692,15731,15709
UOP_SHIFT;3932,321766,7165,366044,5138,9637,8995,31841,3633,3374,5124,3154,3433
UOP_BYTE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_MM;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_VADD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_VSTR;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_VFADD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_LFENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FULL_FENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_ACQ_FENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_REL_FENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FMEM;1115,263592,3115,1762,1098,1111,1111,1123,19211,1125,25121,1111,1115
UOP_FCF;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FCVT;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FADD;1381,1924,1390,2961,1383,1383,1383,1388,6780,1404,7406,1383,1381
UOP_FMUL;0,0,0,0,0,0,0,0,2399,0,0,0,0
UOP_FDIV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FCMP;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FBIT;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FCMOV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_LD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_ST;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_SSE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_SIMD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_AES;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_PCLMUL;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_X87;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_XSAVE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_XSAVEOPT;0,0,0,0,0,0,0,0,0,0,0,0,0
total_UOPS;215093,3587380,292980,3287638,522996,249567,629110,762041,302603,328522,320827,201077,199003
