UOP;MemBW,SPMV,Qsort,Rsort,Vvadd,Median,Memcpy,Towers,Multiply,St-Vvadd,Mergesort,St-MatMul,Memlatency
UOP_INV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_SPEC;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_NOP;2109,1895,11178,1902,1894,1895,1903,2733,1991,1902,5385,1898,2114
UOP_CF;257193,35904,75914,40650,32453,34102,38036,33055,38751,36666,61269,36948,93868
UOP_CMOV;294,768,268,272,268,268,272,268,268,2266,265,266,626
UOP_LDA;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_IMEM;1320466,78384,269755,342798,51328,58744,92222,55370,73971,86786,203708,116348,1317986
UOP_IADD;1402421,140907,250194,331656,96870,103434,138449,93679,105743,143273,233955,144383,1484244
UOP_IMUL;136,144,144,145,144,144,145,144,144,144,142,12690,254
UOP_IDIV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_ICMP;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_LOGIC;17479,18711,16199,16348,16199,16211,16365,16209,22599,18170,16735,16168,17779
UOP_SHIFT;321766,3786,9140,31990,3582,4085,7314,3299,9782,5269,5287,3523,366044
UOP_BYTE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_MM;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_VADD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_VSTR;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_VFADD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_LFENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FULL_FENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_ACQ_FENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_REL_FENCE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FMEM;263592,19209,1117,1125,1117,1113,3117,1117,1117,25127,1100,1127,1762
UOP_FCF;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FCVT;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FADD;1924,6779,1378,1385,1378,1380,1387,1378,1378,7401,1380,1401,2961
UOP_FMUL;0,2399,0,0,0,0,0,0,0,0,0,0,0
UOP_FDIV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FCMP;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FBIT;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_FCMOV;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_LD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_ST;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_SSE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_SIMD;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_AES;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_PCLMUL;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_X87;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_XSAVE;0,0,0,0,0,0,0,0,0,0,0,0,0
UOP_XSAVEOPT;0,0,0,0,0,0,0,0,0,0,0,0,0
total_UOPS;3587380,308886,635287,768271,205233,221376,299210,207252,255744,327004,529226,334752,3287638
CPI;17.60281,9.76229418,9.982647213,9.985578006,9.946285441,9.950130095,9.962915678,9.946808716,9.956894394,9.818937995,9.979139347,9.966518497,9.992794827
Total_Instructions;3000000,252640,498718,691145,159877,172752,239793,161176,181425,262099,414708,255918,2999988
Total_cycles;500918061,2331431,10671245,6205906,1546604,1764022,20086272,1570028,2438703,2574248,4912975,2595651,23206718
CPI_macsim;166.972687,9.228273433,21.39735281,8.979166456,9.673711666,10.21129712,83.76504735,9.741078076,13.44193468,9.821662807,11.84682958,10.14251049,7.735603609
